condition,correct_result,correctness,difficulty,elapsed_experiment_time,error_distance,event,full_expression,local_time,marker_code,problem,psychopy_flip_time,session_id,shown_result,subject_id,trial_id
,,,,0.0002905000001192093,,EXP_START,,0.0002882999997382285,33024,,,20260515_131348,,S001,
easy_incorrect_far,5,incorrect,easy,2.4678849000010814,far,EASY_INCORRECT_FAR,2 + 3 = 12,2.4678795999989234,33026,2 + 3,10.581328500000382,20260515_131348,12,S001,1
easy_correct,5,correct,easy,5.052349400000821,none,EASY_CORRECT,7 - 2 = 5,5.052346200000102,33025,7 - 2,13.165533700001106,20260515_131348,5,S001,2
easy_correct,9,correct,easy,7.6346567000000505,none,EASY_CORRECT,4 + 5 = 9,7.634650999998485,33025,4 + 5,15.748054699999557,20260515_131348,9,S001,3
easy_incorrect_far,5,incorrect,easy,10.219128400000045,far,EASY_INCORRECT_FAR,8 - 3 = 14,10.21912279999924,33026,8 - 3,18.33201680000093,20260515_131348,14,S001,4
hard_incorrect_far,126,incorrect,hard,12.801824000000124,far,HARD_INCORRECT_FAR,18 × 7 = 162,12.801821999999447,33028,18 × 7,20.91521079999984,20260515_131348,162,S001,5
easy_correct,8,correct,easy,15.384565100001055,none,EASY_CORRECT,6 + 2 = 8,15.384563399999024,33025,6 + 2,23.497745500000747,20260515_131348,8,S001,6
hard_incorrect_far,126,incorrect,hard,17.968499700000393,far,HARD_INCORRECT_FAR,14 × 9 = 154,17.968494799999462,33028,14 × 9,26.081684300001143,20260515_131348,154,S001,7
easy_incorrect_far,6,incorrect,easy,20.551673400001164,far,EASY_INCORRECT_FAR,3 × 2 = 15,20.55166839999947,33026,3 × 2,28.664512900000773,20260515_131348,15,S001,8
easy_correct,5,correct,easy,23.136069000000134,none,EASY_CORRECT,9 - 4 = 5,23.13606710000022,33025,9 - 4,31.248925600000803,20260515_131348,5,S001,9
hard_correct,15,correct,hard,25.717855700000655,none,HARD_CORRECT,225 ÷ 15 = 15,25.717850699998962,33027,225 ÷ 15,33.831141200000275,20260515_131348,15,S001,10
easy_correct,12,correct,easy,28.30151190000106,none,EASY_CORRECT,4 × 3 = 12,28.301510600000256,33025,4 × 3,36.414788100000806,20260515_131348,12,S001,11
hard_correct,92,correct,hard,30.884137799999735,none,HARD_CORRECT,23 × 4 = 92,30.884136699998635,33027,23 × 4,38.99736490000032,20260515_131348,92,S001,12
hard_incorrect_far,81,incorrect,hard,33.46807220000119,far,HARD_INCORRECT_FAR,3⁴ = 64,33.468067699999665,33028,3⁴,41.58139529999971,20260515_131348,64,S001,13
easy_correct,5,correct,easy,36.05083630000081,none,EASY_CORRECT,2 + 3 = 5,36.050831200000175,33025,2 + 3,44.16404080000029,20260515_131348,5,S001,14
hard_incorrect_far,92,incorrect,hard,38.63473040000099,far,HARD_INCORRECT_FAR,23 × 4 = 68,38.634728399998494,33028,23 × 4,46.74795330000052,20260515_131348,68,S001,15
hard_incorrect_far,121,incorrect,hard,41.21818340000027,far,HARD_INCORRECT_FAR,11² = 144,41.21817809999993,33028,11²,49.33122200000071,20260515_131348,144,S001,16
easy_correct,6,correct,easy,43.80009270000119,none,EASY_CORRECT,3 × 2 = 6,43.800088799998775,33025,3 × 2,51.91354769999998,20260515_131348,6,S001,17
hard_correct,81,correct,hard,46.38421700000072,none,HARD_CORRECT,3⁴ = 81,46.38421190000008,33027,3⁴,54.497609699999884,20260515_131348,81,S001,18
hard_correct,12,correct,hard,48.96759530000054,none,HARD_CORRECT,168 ÷ 14 = 12,48.96759380000003,33027,168 ÷ 14,57.08048869999948,20260515_131348,12,S001,19
easy_incorrect_far,12,incorrect,easy,51.55139600000075,far,EASY_INCORRECT_FAR,4 × 3 = 21,51.551390900000115,33026,4 × 3,59.66478199999983,20260515_131348,21,S001,20
hard_correct,121,correct,hard,54.13365220000014,none,HARD_CORRECT,11² = 121,54.13364729999921,33027,11²,62.24680850000004,20260515_131348,121,S001,21
easy_incorrect_far,5,incorrect,easy,56.717883000001166,far,EASY_INCORRECT_FAR,7 - 2 = 16,56.71788099999867,33026,7 - 2,64.83083729999998,20260515_131348,16,S001,22
easy_correct,10,correct,easy,59.30036850000033,none,EASY_CORRECT,5 × 2 = 10,59.30036629999995,33025,5 × 2,67.41342450000047,20260515_131348,10,S001,23
easy_correct,5,correct,easy,61.884431100001166,none,EASY_CORRECT,8 - 3 = 5,61.8844285999985,33025,8 - 3,69.9972944000001,20260515_131348,5,S001,24
hard_correct,126,correct,hard,64.46737750000102,none,HARD_CORRECT,14 × 9 = 126,64.46737559999929,33027,14 × 9,72.58070059999955,20260515_131348,126,S001,25
hard_incorrect_far,12,incorrect,hard,67.04976999999963,far,HARD_INCORRECT_FAR,144 ÷ 12 = 18,67.04976669999996,33028,144 ÷ 12,75.16310560000056,20260515_131348,18,S001,26
hard_correct,169,correct,hard,69.63377960000071,none,HARD_CORRECT,13² = 169,69.63377519999995,33027,13²,77.74697490000108,20260515_131348,169,S001,27
hard_correct,102,correct,hard,72.21671160000005,none,HARD_CORRECT,17 × 6 = 102,72.21670789999916,33027,17 × 6,80.32972680000057,20260515_131348,102,S001,28
easy_correct,4,correct,easy,74.80067790000066,none,EASY_CORRECT,10 - 6 = 4,74.8006721999991,33025,10 - 6,82.91378570000052,20260515_131348,4,S001,29
easy_incorrect_far,4,incorrect,easy,77.38305760000003,far,EASY_INCORRECT_FAR,10 - 6 = 11,77.38305469999978,33026,10 - 6,85.49628900000062,20260515_131348,11,S001,30
easy_incorrect_far,8,incorrect,easy,79.96745890000057,far,EASY_INCORRECT_FAR,6 + 2 = 1,79.96745369999917,33026,6 + 2,88.08043600000019,20260515_131348,1,S001,31
hard_correct,126,correct,hard,82.55087230000026,none,HARD_CORRECT,18 × 7 = 126,82.5508708999987,33027,18 × 7,90.66382720000001,20260515_131348,126,S001,32
easy_incorrect_far,9,incorrect,easy,85.13412860000062,far,EASY_INCORRECT_FAR,4 + 5 = 2,85.13412369999969,33026,4 + 5,93.24692110000069,20260515_131348,2,S001,33
easy_incorrect_far,5,incorrect,easy,87.7168582000013,far,EASY_INCORRECT_FAR,9 - 4 = 13,87.7168520999985,33026,9 - 4,95.82996149999963,20260515_131348,13,S001,34
hard_incorrect_far,12,incorrect,hard,90.29997200000071,far,HARD_INCORRECT_FAR,168 ÷ 14 = 8,90.29996279999978,33028,168 ÷ 14,98.4130454999995,20260515_131348,8,S001,35
,,,,90.43595749999986,,EXP_END,,90.43595399999867,33029,,,20260515_131348,,S001,
